position_x:0.0 position_y:0.0 position_z:1.1752700805664062
position_x:81.3806381225586 position_y:-16.05524253845215 position_z:-12.822369575500488
position_x:81.66626739501953 position_y:-16.45795249938965 position_z:-12.783464431762695
position_x:82.03180694580078 position_y:-16.969396591186523 position_z:-12.73089599609375
position_x:82.297119140625 position_y:-17.32928466796875 position_z:-12.730049133300781
position_x:82.5610580444336 position_y:-17.676177978515625 position_z:-12.679073333740234
position_x:82.82791137695312 position_y:-18.00717544555664 position_z:-12.595171928405762
position_x:83.08486938476562 position_y:-18.3112735748291 position_z:-12.50086784362793
position_x:83.39427947998047 position_y:-18.673107147216797 position_z:-12.347530364990234
position_x:83.62838745117188 position_y:-18.937061309814453 position_z:-12.203486442565918
position_x:83.8589096069336 position_y:-19.17091941833496 position_z:-12.045134544372559
position_x:84.07626342773438 position_y:-19.347803115844727 position_z:-11.921284675598145
position_x:84.31346130371094 position_y:-19.489681243896484 position_z:-11.841632843017578
position_x:84.68575286865234 position_y:-19.655424118041992 position_z:-11.790969848632812
position_x:85.03965759277344 position_y:-19.77068328857422 position_z:-11.812750816345215
position_x:85.43162536621094 position_y:-19.870187759399414 position_z:-11.843080520629883
position_x:85.81631469726562 position_y:-19.94501495361328 position_z:-11.888618469238281
position_x:86.21369171142578 position_y:-20.004459381103516 position_z:-11.964518547058105
position_x:86.72593688964844 position_y:-20.064659118652344 position_z:-12.057491302490234
position_x:87.16190338134766 position_y:-20.09480094909668 position_z:-12.180036544799805
position_x:87.58729553222656 position_y:-20.104761123657227 position_z:-12.34119987487793
position_x:88.0167465209961 position_y:-20.09915542602539 position_z:-12.547983169555664
position_x:88.4444351196289 position_y:-20.085111618041992 position_z:-12.735225677490234
position_x:88.97758483886719 position_y:-20.060117721557617 position_z:-12.859270095825195
position_x:89.3852767944336 position_y:-20.034908294677734 position_z:-12.873278617858887
position_x:89.8087387084961 position_y:-19.99879264831543 position_z:-12.855886459350586
position_x:90.22930908203125 position_y:-19.94190788269043 position_z:-12.910006523132324
position_x:90.65303039550781 position_y:-19.870849609375 position_z:-12.963196754455566
position_x:91.17923736572266 position_y:-19.76874542236328 position_z:-12.964499473571777
position_x:91.5920639038086 position_y:-19.670869827270508 position_z:-12.986620903015137
position_x:92.02181243896484 position_y:-19.556222915649414 position_z:-13.035775184631348
position_x:92.44776916503906 position_y:-19.432096481323242 position_z:-13.094803810119629
position_x:92.87078094482422 position_y:-19.294401168823242 position_z:-13.202820777893066
position_x:93.42884826660156 position_y:-19.099929809570312 position_z:-13.309248924255371
position_x:93.83275604248047 position_y:-18.95351791381836 position_z:-13.333521842956543
position_x:94.26029205322266 position_y:-18.795513153076172 position_z:-13.346636772155762
position_x:94.66566467285156 position_y:-18.640954971313477 position_z:-13.336885452270508
position_x:95.06967163085938 position_y:-18.477977752685547 position_z:-13.415034294128418
position_x:95.63948059082031 position_y:-18.237829208374023 position_z:-13.646164894104004
position_x:96.04364776611328 position_y:-18.063505172729492 position_z:-13.824817657470703
position_x:96.44432830810547 position_y:-17.887226104736328 position_z:-13.928268432617188
position_x:96.83497619628906 position_y:-17.7099552154541 position_z:-13.973625183105469
position_x:97.23375701904297 position_y:-17.5240478515625 position_z:-13.959692001342773
position_x:97.72925567626953 position_y:-17.278398513793945 position_z:-13.957237243652344
position_x:98.10325622558594 position_y:-17.079608917236328 position_z:-14.01059627532959
position_x:98.47154235839844 position_y:-16.877426147460938 position_z:-14.067858695983887
position_x:98.83836364746094 position_y:-16.666913986206055 position_z:-14.164443969726562
position_x:99.22089385986328 position_y:-16.443527221679688 position_z:-14.297197341918945
position_x:99.7884750366211 position_y:-16.10980796813965 position_z:-14.545438766479492
position_x:100.19940185546875 position_y:-15.868010520935059 position_z:-14.663447380065918
position_x:100.601806640625 position_y:-15.633511543273926 position_z:-14.758893966674805
position_x:101.00102233886719 position_y:-15.404696464538574 position_z:-14.803278923034668
position_x:101.39349365234375 position_y:-15.187644958496094 position_z:-14.824003219604492
position_x:101.91950988769531 position_y:-14.91302490234375 position_z:-14.894651412963867
position_x:102.34085845947266 position_y:-14.71435832977295 position_z:-15.008768081665039
position_x:102.77665710449219 position_y:-14.534380912780762 position_z:-15.188095092773438
position_x:103.2322998046875 position_y:-14.364028930664062 position_z:-15.410269737243652
position_x:103.67342376708984 position_y:-14.216175079345703 position_z:-15.659295082092285
position_x:104.29337310791016 position_y:-14.027873039245605 position_z:-15.963547706604004
position_x:104.75025177001953 position_y:-13.902029037475586 position_z:-16.143396377563477
position_x:105.21382141113281 position_y:-13.792798042297363 position_z:-16.356834411621094
position_x:105.6734619140625 position_y:-13.696179389953613 position_z:-16.554780960083008
position_x:106.13758850097656 position_y:-13.607336044311523 position_z:-16.74654197692871
position_x:106.7525405883789 position_y:-13.495980262756348 position_z:-16.92055320739746
position_x:107.25537109375 position_y:-13.412847518920898 position_z:-17.09832191467285
position_x:107.78340911865234 position_y:-13.32916259765625 position_z:-17.29661750793457
position_x:108.3082504272461 position_y:-13.245153427124023 position_z:-17.464113235473633
position_x:108.83135223388672 position_y:-13.157027244567871 position_z:-17.70395278930664
position_x:109.4521255493164 position_y:-13.041888236999512 position_z:-18.009033203125
position_x:109.9606704711914 position_y:-12.938199996948242 position_z:-18.244783401489258
position_x:110.49606323242188 position_y:-12.816235542297363 position_z:-18.523893356323242
position_x:111.0042953491211 position_y:-12.689838409423828 position_z:-18.74742317199707
position_x:111.5025863647461 position_y:-12.552395820617676 position_z:-18.983810424804688
position_x:112.14252471923828 position_y:-12.360553741455078 position_z:-19.232242584228516
position_x:112.57865142822266 position_y:-12.213215827941895 position_z:-19.46466827392578
position_x:112.969970703125 position_y:-12.071951866149902 position_z:-19.701387405395508
position_x:113.35382843017578 position_y:-11.928074836730957 position_z:-19.888315200805664
position_x:113.7079849243164 position_y:-11.786299705505371 position_z:-20.05136489868164
position_x:114.06815338134766 position_y:-11.627411842346191 position_z:-20.17119026184082
position_x:114.37898254394531 position_y:-11.46444320678711 position_z:-20.27713966369629
position_x:114.68299102783203 position_y:-11.287952423095703 position_z:-20.31108283996582
position_x:114.9923095703125 position_y:-11.082317352294922 position_z:-20.296768188476562
position_x:115.2711410522461 position_y:-10.842988014221191 position_z:-20.32039451599121
position_x:115.5320053100586 position_y:-10.566049575805664 position_z:-20.332693099975586
position_x:115.76844024658203 position_y:-10.267176628112793 position_z:-20.31258773803711
position_x:115.95736694335938 position_y:-9.945018768310547 position_z:-20.353862762451172
position_x:116.17955017089844 position_y:-9.44388198852539 position_z:-20.4504337310791
position_x:116.3037338256836 position_y:-9.069087028503418 position_z:-20.532711029052734
position_x:116.40667724609375 position_y:-8.691015243530273 position_z:-20.58138084411621
position_x:116.47999572753906 position_y:-8.296059608459473 position_z:-20.682804107666016
position_x:116.53079986572266 position_y:-7.8987040519714355 position_z:-20.768163681030273
position_x:116.57356262207031 position_y:-7.43518590927124 position_z:-20.823139190673828
position_x:116.594970703125 position_y:-7.00862979888916 position_z:-20.918292999267578
position_x:116.60840606689453 position_y:-6.5674824714660645 position_z:-20.99022674560547
position_x:116.61912536621094 position_y:-6.1260833740234375 position_z:-20.983415603637695
position_x:116.62702178955078 position_y:-5.699652194976807 position_z:-20.92261505126953
position_x:116.63190460205078 position_y:-5.106346130371094 position_z:-20.826068878173828
position_x:116.63684844970703 position_y:-4.626779079437256 position_z:-20.7404842376709
position_x:116.64472198486328 position_y:-4.148153781890869 position_z:-20.682518005371094
position_x:116.65524291992188 position_y:-3.6645376682281494 position_z:-20.578800201416016
position_x:116.667236328125 position_y:-3.1747961044311523 position_z:-20.448192596435547
position_x:116.69485473632812 position_y:-2.4200499057769775 position_z:-20.324993133544922
position_x:116.71593475341797 position_y:-1.9044559001922607 position_z:-20.20406150817871
