position_x:0.0 position_y:0.0 position_z:1.1752631664276123
position_x:67.2715835571289 position_y:11.495757102966309 position_z:-5.977578639984131
position_x:67.35563659667969 position_y:10.989384651184082 position_z:-5.899890422821045
position_x:67.42311096191406 position_y:10.513411521911621 position_z:-5.811147212982178
position_x:67.47403717041016 position_y:10.034274101257324 position_z:-5.770993709564209
position_x:67.51765441894531 position_y:9.537694931030273 position_z:-5.715584754943848
position_x:67.5549087524414 position_y:9.038668632507324 position_z:-5.622527122497559
position_x:67.58219909667969 position_y:8.540459632873535 position_z:-5.524981498718262
position_x:67.59264373779297 position_y:8.045708656311035 position_z:-5.511663913726807
position_x:67.58921813964844 position_y:7.543419361114502 position_z:-5.545770168304443
position_x:67.58250427246094 position_y:7.027225017547607 position_z:-5.504449844360352
position_x:67.57238006591797 position_y:6.518610000610352 position_z:-5.407598495483398
position_x:67.55718994140625 position_y:6.018052101135254 position_z:-5.332771301269531
position_x:67.53311920166016 position_y:5.3929314613342285 position_z:-5.253354072570801
position_x:67.51347351074219 position_y:4.889403820037842 position_z:-5.156076908111572
position_x:67.49394989013672 position_y:4.370742321014404 position_z:-5.075441360473633
position_x:67.4783935546875 position_y:3.8817710876464844 position_z:-5.0008745193481445
position_x:67.4649887084961 position_y:3.384028196334839 position_z:-4.972442150115967
position_x:67.45443725585938 position_y:2.782196283340454 position_z:-4.979515552520752
position_x:67.45022583007812 position_y:2.273833751678467 position_z:-5.007598876953125
position_x:67.44695281982422 position_y:1.7480559349060059 position_z:-4.99876594543457
position_x:67.44217681884766 position_y:1.2264072895050049 position_z:-5.040372371673584
position_x:67.43668365478516 position_y:0.7287185788154602 position_z:-5.0841498374938965
position_x:67.42871856689453 position_y:0.056271299719810486 position_z:-5.046417713165283
position_x:67.42184448242188 position_y:-0.4820643663406372 position_z:-4.983794212341309
position_x:67.41082763671875 position_y:-1.0285440683364868 position_z:-4.878154277801514
position_x:67.39620208740234 position_y:-1.5323691368103027 position_z:-4.764965057373047
position_x:67.37828826904297 position_y:-2.057448625564575 position_z:-4.639803409576416
position_x:67.354736328125 position_y:-2.5808284282684326 position_z:-4.537111282348633
position_x:67.3220443725586 position_y:-3.1046886444091797 position_z:-4.475218772888184
position_x:67.27857971191406 position_y:-3.6963562965393066 position_z:-4.484682083129883
position_x:67.24483489990234 position_y:-4.220056533813477 position_z:-4.550480842590332
position_x:67.22276306152344 position_y:-4.744512557983398 position_z:-4.690986633300781
position_x:67.21336364746094 position_y:-5.292835712432861 position_z:-4.900968074798584
position_x:67.21235656738281 position_y:-5.817233085632324 position_z:-5.112428188323975
position_x:67.22457885742188 position_y:-6.312835216522217 position_z:-5.372198581695557
position_x:67.24974060058594 position_y:-6.76967716217041 position_z:-5.672820568084717
position_x:67.2874526977539 position_y:-7.218869686126709 position_z:-5.971707820892334
position_x:67.33650207519531 position_y:-7.666982650756836 position_z:-6.193280220031738
position_x:67.39952850341797 position_y:-8.116365432739258 position_z:-6.330913543701172
position_x:67.47483825683594 position_y:-8.556204795837402 position_z:-6.388270854949951
position_x:67.59380340576172 position_y:-9.120433807373047 position_z:-6.383279323577881
position_x:67.70502471923828 position_y:-9.563396453857422 position_z:-6.333435535430908
position_x:67.84771728515625 position_y:-10.040070533752441 position_z:-6.273700714111328
position_x:68.00003051757812 position_y:-10.501531600952148 position_z:-6.159411430358887
position_x:68.15494537353516 position_y:-10.931404113769531 position_z:-6.026612758636475
position_x:68.39180755615234 position_y:-11.507841110229492 position_z:-5.98618745803833
position_x:68.58544921875 position_y:-11.942789077758789 position_z:-5.996932029724121
position_x:68.79412841796875 position_y:-12.392680168151855 position_z:-5.9839067459106445
position_x:68.99715423583984 position_y:-12.805116653442383 position_z:-5.997550964355469
position_x:69.21772003173828 position_y:-13.231402397155762 position_z:-5.984109878540039
position_x:69.5498046875 position_y:-13.811439514160156 position_z:-6.071648120880127
position_x:69.78594207763672 position_y:-14.202359199523926 position_z:-6.112306594848633
position_x:70.04541778564453 position_y:-14.610828399658203 position_z:-6.173129558563232
position_x:70.30282592773438 position_y:-15.007299423217773 position_z:-6.157733917236328
position_x:70.56275177001953 position_y:-15.398595809936523 position_z:-6.090160369873047
position_x:70.88404083251953 position_y:-15.874923706054688 position_z:-6.003480434417725
position_x:71.14749145507812 position_y:-16.25908660888672 position_z:-5.910338878631592
position_x:71.41474914550781 position_y:-16.641462326049805 position_z:-5.7875075340271
position_x:71.6764907836914 position_y:-17.00940704345703 position_z:-5.679248809814453
position_x:71.9384994506836 position_y:-17.37630844116211 position_z:-5.536985874176025
